word	cefr	allOxfordLevels	surfaceForms	matchedSpeeches	uncoveredSpeeches	coveringLemmas	firstSpeechId	firstContext
carve	C1	C1	carving	1	0	carving knife	act2-speech-0379	But such a gay little tune? Don't you think? She cut off their tails with a carving knife ― snick, snick, snick ― delicious. Just what a child would adore. Cruel little things, children. Some of them never grow
clear	A2/B1	A2/B1	clear	1	1		act2-speech-0528	You will forgive me if I don't make that clear just at the moment.
control	A2	A2	control	1	0	under control	act2-speech-0612	Everything's under control. He will be unconscious soon with a sedative ― his sister's looking after him. Poor fellow's as mad as a hatter, of course. I've had my suspicions of him all along.
cook	A2	A1/A2	cooked, cooking	2	2		act2-speech-0272	Perhaps you'd met him before. Perhaps you suggested to him to come here and that you'd both pretend to meet for the first time. All cooked up between you, was it?
count	A2/B1	A2/B1	count	3	1	count someone out | count to twenty	act2-speech-0537	Well, you can count me out. I'm too busy in the kitchen.
cut	B1	A1/B1	cut	4	3	cut off	act2-speech-0111	We don't actually know a thing. All we've got so far is that the woman who joined with her husband in ill-treating and starving those children has been killed, and that the woman magistrate who was responsible 
deal	A2/B1	A2/B1	deal	1	0	a good deal	act2-speech-0372	Yes, Miss Casewell. I do. Three blind mice. Two mice cancelled out ― a third mouse still to be dealt with. There are six of you here listening to me. One of you's a killer! One of you's a killer. I don't know w
dear	A2	A1/A2	dear, dearest	6	6		act2-speech-0075	Dearest Jessie ― h'm ― a friend of yours, or a relation?
degree	A2	A2	degree	1	0	the third degree	act2-speech-0490	I always thought the police weren't allowed to give people the third degree.
discover	A2	A2	discover	1	1		act2-speech-0519	Those were the statements you made. I had no means of checking these statements. They may be true ― they may not. To put it quite clearly, five of those statements are true, but one is false ― which one? Five o
drag	B2	B2	dragging	1	1		act2-speech-0503	Yes, Sergeant? What can I do for you? Little Bo Policeman has lost his skis and doesn't know where to find them. Leave them alone, and they'll come home, dragging a murderer behind them.
driving	A2/C1	A2/C1	driving	1	1		act2-speech-0239	Then why shouldn't he tell me he did? Why pretend he'd been driving all round the countryside?
drop	A2/B1	A2/B1	drop, dropped	2	2		act2-speech-0138	Well, Mr. Paravicini did drop the poker when I said the police had rung up.
