word	cefr	allOxfordLevels	surfaceForms	firstSpeechId	firstContext
stay	A2	A1/A2	stay, staying	act2-speech-0105	I'm staying.
step	A2/B2	A2/B2	step, steps	act2-speech-0080	Looking around. Just looking around. I looked into that cupboard place under the stairs near the kitchen. Lot of junk and sports tackle. And I noticed there was another door inside it, and I opened it and saw a flight of steps. I was curious and I went down. N
stick	B1	B1	stick	act2-speech-0222	Anyway, you think I ought to stick it out.
still	B1	A1/B1	still	act2-speech-0324	The snow is still lying. I need help here, reinforcements. I was going to ski over to the police station at Market Hampton to report on the situation.
sudden	B1	B1	sudden	act2-speech-0306	Mollie, what's come over you? You're different all of a sudden. I feel as though I don't know you any more.
suddenly	A2	A2	suddenly	act2-speech-0060	With one finger so...And then I hear the radio ― playing very loud ― someone is shouting on it. It offended my ears. And after that ― suddenly ― I hear Mrs. Ralston scream.
suggestion	A2	A2	suggestions	act2-speech-0137	Any other suggestions?
sure	A2	A1/A2	sure	act2-speech-0297	Didn't you ― are you sure you didn't?
tackle	B2/C1	B2/C1	tackle	act2-speech-0080	Looking around. Just looking around. I looked into that cupboard place under the stairs near the kitchen. Lot of junk and sports tackle. And I noticed there was another door inside it, and I opened it and saw a flight of steps. I was curious and I went down. N
talk	A2	A1/A2	talk, talking	act2-speech-0245	No, we were ― just talking. I must go to the kitchen ― there's the pie and potatoes ― and I must do ― do the spinach.
that	B1	A1/B1	that, that's	act2-speech-0058	No, no, Inspector ― I beg your pardon ― Sergeant, I would not do a thing like that.
thinking	A2	A2	thinking	act2-speech-0363	No good shouting at me, young fellow. I wasn't thinking about any damned skis. I was interested in the cellars. Architecture of this place is very interesting. I opened the other door and I went on down. So I can't tell you whether the skis were there or not.
third	A2	A1/A2	third	act2-speech-0372	Yes, Miss Casewell. I do. Three blind mice. Two mice cancelled out ― a third mouse still to be dealt with. There are six of you here listening to me. One of you's a killer! One of you's a killer. I don't know which yet, but I shall. And another of you is the k
this	B1	A1/B1	this	act2-speech-0057	Who was whistling Three Blind Mice? Are you making this up, Mr. Paravicini?
thought	A2	A2	thought	act2-speech-0307	Perhaps you never did know me. We've been married how long ― a year? But you don't really know anything about me. What I'd done or thought or felt or suffered before you knew me.
time	B2	A1/B2	time	act2-speech-0077	Perhaps not. You know if I were to hear someone screaming blue murder when I was writing a letter, I don't believe I'd take the time to pick up my unfinished letter, fold it and put it in my handbag before going to see what was the matter.
top	A2/C1	A2/C1	top	act2-speech-0618	Yes, it seems she recognized him just before this last business. Didn't know what to do, but fortunately came to me about it, just in time. Well, it's started to thaw, help should be here pretty soon. Oh, by the way, Mrs. Ralston, I'll remove those skis. I hid
touch	A2/B1	A2/B1	touch, touched	act2-speech-0301	Don't touch me.
train	A2	A1/A2	train	act2-speech-0173	Only thirty miles from London, aren't you? Oh, you got an ABC? Only an hour by train ― a little longer by car.
training	A2	A2	training	act2-speech-0165	You'd be surprised, Mrs. Ralston, if you knew how many cases rather like yours we get. Especially since the war. Homes broken up and families dead. Fellow says he's been in the Air Force, or just finished his Army training. Parents killed ― no relations. There
treat	B1	B1	treating	act2-speech-0111	We don't actually know a thing. All we've got so far is that the woman who joined with her husband in ill-treating and starving those children has been killed, and that the woman magistrate who was responsible for placing them there has been killed. The teleph
truth	B1	B1	truth	act2-speech-0519	Those were the statements you made. I had no means of checking these statements. They may be true ― they may not. To put it quite clearly, five of those statements are true, but one is false ― which one? Five of you were speaking the truth, one of you was lyin
try	B2	A1/B2	tried, try, trying	act2-speech-0217	Perhaps that's why it was so ― awful. It was horrible ― horrible...I try to put it out of my mind. I try never to think about it.
