THE MOUSETRAP — A2+ ADDITION CANDIDATES — PART 1 / 1-291
Scope: global speeches 1-291 (291 speeches)
Policy: screening list, not official CEFR certification. Clear A1/basic items are excluded; uncertain content words are kept to minimize omissions.
Dictionary definitions are NOT created in this phase. Existing vocabulary/dictionary data are NOT modified.

PIPELINE
1. Extracted non-A1 candidate occurrences: 1313
2. After normalized/headword deduplication: 686
3. After removing already-implemented dictionary/vocabulary items: 314

FINAL ADDITION CANDIDATES
word	occurrences	firstSpeechId	surfaceForms
ticked	1	act1-scene1-speech-0061	ticked
tim	1	act1-scene1-speech-0054	tim
tiny	1	act1-scene1-speech-0054	tiny
together	1	act1-scene1-speech-0157	together
tonight	1	act1-scene2-speech-0006	tonight
tooth	1	act1-scene2-speech-0034	teeth
tragic	1	act1-scene1-speech-0114	tragic
train	2	act1-scene1-speech-0082	train, trains
travel	1	act1-scene1-speech-0128	travel
tried	1	act1-scene1-speech-0122	tried
trouble	2	act1-scene1-speech-0157	trouble
true	1	act1-scene2-speech-0067	true
trying	1	act1-scene2-speech-0047	trying
twenty	2	act1-scene1-speech-0001	twenty
twice	1	act1-scene1-speech-0177	twice
type	1	act1-scene1-speech-0156	type
ugh	1	act1-scene1-speech-0027	ugh
understand	1	act1-scene1-speech-0118	understand
understood	1	act1-scene1-speech-0108	understood
unfortunate	1	act1-scene1-speech-0112	unfortunate
unpleasant	1	act1-scene1-speech-0167	unpleasant
until	2	act1-scene1-speech-0028	until
upstair	1	act1-scene1-speech-0055	upstairs
used	1	act1-scene2-speech-0039	used
vicinity	3	act1-scene1-speech-0001	vicinity
warmer	2	act1-scene2-speech-0051	warmer
warned	3	act1-scene1-speech-0001	warned
wax	1	act1-scene1-speech-0046	wax
we'd	2	act1-scene1-speech-0082	we'd
wearing	3	act1-scene1-speech-0001	wearing
weather	9	act1-scene1-speech-0009	weather
well	11	act1-scene1-speech-0013	well
whole	2	act1-scene1-speech-0011	whole
wind	1	act1-scene1-speech-0114	wind
wish	3	act1-scene1-speech-0013	wish
wonderful	2	act1-scene1-speech-0041	wonderful
wrapped	1	act1-scene1-speech-0037	wrapped
write	3	act1-scene2-speech-0011	write, writing
writer	1	act1-scene2-speech-0074	writer
wrote	1	act1-scene1-speech-0038	wrote
yourself	1	act1-scene1-speech-0051	yourself

NOTE
- This is deliberately over-inclusive. Final dictionary-writing pass should manually reject proper names, OCR/tokenization artifacts, and words that are actually A1 in the relevant sense.
- Polysemy must be judged by the sense used in the play; an A1-looking word can still remain if the play uses a harder sense.

