THE MOUSETRAP — A2+ ADDITION CANDIDATES — PARTS 3+4 UNIQUE
Scope: global speeches 583-1164
Pipeline: extract Oxford A2+ occurrences -> deduplicate by headword -> remove currently implemented dictionary headwords -> deduplicate across Parts 3 and 4.
Unique final Oxford A2+ candidates across Parts 3+4: 250

word	cefr	parts	occurrences	firstSpeechId	surfaceForms	allOxfordLevels
run	A2	3,4	2	act2-speech-0204	ran, run	A1/A2
running	A2	3,4	5	act2-speech-0191	running	A2
say	C1	3,4	33	act2-speech-0069	said, say, saying, says	A1/C1
second	A2	4	1	act2-speech-0523	second	A1/A2
sense	A2/B2	4	1	act2-speech-0421	sense	A2/B2
serve	A2	3,4	2	act2-speech-0123	served, serving	A2
service	A2	3	1	act2-speech-0204	service	A2
set	B1	3,4	3	act2-speech-0277	set	B1
settle	B2	3	1	act2-speech-0165	settle	B2
shall	A2	4	3	act2-speech-0372	shall	A2
shout	A2	3,4	2	act2-speech-0060	shouting	A2
shut	A2	3	3	act2-speech-0083	shut, shuts	A2
side	A2	3	1	act2-speech-0287	side	A2
simple	A2	4	1	act2-speech-0411	simple	A2
sir	A2	4	6	act2-speech-0384	sir	A2
slip	B2	3	2	act2-speech-0083	slip, slipped	B2
smell	A2	4	1	act2-speech-0637	smell	A2
smoke	A2	4	2	act2-speech-0627	smoke	A2
social	A2	4	1	act2-speech-0465	social	A2
soldier	A2	3	1	act2-speech-0134	soldier	A2
sometime	B2	3	1	act2-speech-0165	sometimes	B2
somewhere	A2	3,4	4	act2-speech-0243	somewhere	A2
sort	A2/B1	3	2	act2-speech-0168	sort	A2/B1
sound	C1	3	2	act2-speech-0140	sound, sounds	A1/C1
spell	C1	4	1	act2-speech-0435	spell	A1/C1
spot	B1/B2	4	2	act2-speech-0596	spot	B1/B2
stair	A2	3,4	4	act2-speech-0080	stairs	A2
stay	A2	3,4	6	act2-speech-0105	stay, staying	A1/A2
step	A2/B2	3,4	3	act2-speech-0080	step, steps	A2/B2
stick	B1	3	1	act2-speech-0222	stick	B1
still	B1	3,4	3	act2-speech-0324	still	A1/B1
stupid	A2	3	1	act2-speech-0225	stupid	A2
such	A2	3,4	4	act2-speech-0119	such	A2
sudden	B1	3	1	act2-speech-0306	sudden	B1
suddenly	A2	3,4	3	act2-speech-0060	suddenly	A2
suggest	A2	3	3	act2-speech-0168	suggest, suggested	A2
suggestion	A2	3	1	act2-speech-0137	suggestions	A2
suppose	A2	3,4	4	act2-speech-0221	suppose, supposing	A2
sure	A2	3,4	5	act2-speech-0297	sure	A1/A2
sweet	A2	4	1	act2-speech-0626	sweet	A2
tackle	B2/C1	3	1	act2-speech-0080	tackle	B2/C1
talk	A2	3,4	5	act2-speech-0245	talk, talking	A1/A2
that	B1	3,4	125	act2-speech-0058	that, that's	A1/B1
themselves	A2	4	1	act2-speech-0372	themselves	A2
thin	A2	4	1	act2-speech-0373	thin	A2
thinking	A2	4	4	act2-speech-0363	thinking	A2
third	A2	4	3	act2-speech-0372	third	A1/A2
this	B1	3,4	36	act2-speech-0057	this	A1/B1
though	B1	3,4	4	act2-speech-0093	though	B1
thought	A2	3,4	9	act2-speech-0307	thought	A2
time	B2	3,4	14	act2-speech-0077	time	A1/B2
top	A2/C1	4	1	act2-speech-0618	top	A2/C1
touch	A2/B1	3,4	3	act2-speech-0301	touch, touched	A2/B1
train	A2	3	1	act2-speech-0173	train	A1/A2
training	A2	3	2	act2-speech-0165	training	A2
treat	B1	3	1	act2-speech-0111	treating	B1
truth	B1	4	1	act2-speech-0519	truth	B1
try	B2	3,4	10	act2-speech-0217	tried, try, trying	A1/B2
unfortunately	A2	4	1	act2-speech-0558	unfortunately	A2
unhappy	A2	3	2	act2-speech-0142	unhappy	A2
upstairs	A2	3	3	act2-speech-0061	upstairs	A1/A2
used	B1	3,4	3	act2-speech-0165	used	B1
very	B2	3,4	30	act2-speech-0060	very	A1/B2
wait	A2	3,4	3	act2-speech-0103	wait, waiting	A1/A2
war	A2	3,4	3	act2-speech-0165	war, waring	A2
way	B2	3,4	16	act2-speech-0117	way	A1/B2
well	C1	3,4	28	act2-speech-0059	well	A1/C1
wheel	A2	4	1	act2-speech-0620	wheel	A2
wide	A2	3	1	act2-speech-0147	wide	A2
wish	A2	3,4	2	act2-speech-0196	wish	A2
worry	A2/B1	3,4	3	act2-speech-0257	worry, worrying	A2/B1
written	B1	4	1	act2-speech-0616	written	B1
wrong	B1/B2	3,4	3	act2-speech-0160	wrong	A1/B1/B2
young	B1	3,4	12	act2-speech-0095	young, younger	A1/B1
yours	A2	3,4	4	act2-speech-0075	yours	A2

